Prod_ID,Ques_ID,Question Text,Ans_ID,Ans_Text,Q_A
2,8,Is there a replacement white potty available to fit in this chair?,30,"I haven't had to replace the potty insert, but here is Baby Bjorn's Customer Service contact #. (866) 424-0200","Is there a replacement white potty available to fit in this chair? I haven't had to replace the potty insert, but here is Baby Bjorn's Customer Service contact #. (866) 424-0200"
2,8,Is there a replacement white potty available to fit in this chair?,31,Not sure. Look on the company web site.,Is there a replacement white potty available to fit in this chair? Not sure. Look on the company web site.
2,8,Is there a replacement white potty available to fit in this chair?,32,I do not know if a replacement is available or not.  I have looked on the BabyBjorn website and did not find a replacement listed.,Is there a replacement white potty available to fit in this chair? I do not know if a replacement is available or not.  I have looked on the BabyBjorn website and did not find a replacement listed.
2,9,Is it good for girls?,33,"Yes, it is perfect for both genders. I am potty training my 2.5 year old son and my 1 year old daughter loves to sit on it when her brother isn't.  I think it is a great potty chair.","Is it good for girls? Yes, it is perfect for both genders. I am potty training my 2.5 year old son and my 1 year old daughter loves to sit on it when her brother isn't.  I think it is a great potty chair."
2,9,Is it good for girls?,34,"I am currently using it to potty train my boy (10-month-old). He likes to sit on it and gestures when he is done and wants to be picked up. As for girls, I would assume it should also be OK to use. The chair is deep enough and the front end does not touch the baby (unless he really pushes himself to the front of the chair). That said, you shouldn't have to worry about any germs from the babies touching the plastic. Additionally, it is really easy to clean, the plastic part comes out easily and we \'decontaminate\' it with 10% beach every couple of days just in case.","Is it good for girls? I am currently using it to potty train my boy (10-month-old). He likes to sit on it and gestures when he is done and wants to be picked up. As for girls, I would assume it should also be OK to use. The chair is deep enough and the front end does not touch the baby (unless he really pushes himself to the front of the chair). That said, you shouldn't have to worry about any germs from the babies touching the plastic. Additionally, it is really easy to clean, the plastic part comes out easily and we \'decontaminate\' it with 10% beach every couple of days just in case."
2,10,does the removable insert of this potty chair stain easily?  Ie does it turn yellow because of the pee?,35,no it doesnt ive had an all wwhite one and the blue with the white inside both are perfectly white I promise. and its been two years,does the removable insert of this potty chair stain easily?  Ie does it turn yellow because of the pee? no it doesnt ive had an all wwhite one and the blue with the white inside both are perfectly white I promise. and its been two years
2,10,does the removable insert of this potty chair stain easily?  Ie does it turn yellow because of the pee?,36,It hasn't yet and we've been using it for 2 weeks. It gets emptied and rinsed immediately.,does the removable insert of this potty chair stain easily?  Ie does it turn yellow because of the pee? It hasn't yet and we've been using it for 2 weeks. It gets emptied and rinsed immediately.
2,10,does the removable insert of this potty chair stain easily?  Ie does it turn yellow because of the pee?,37,"My son and daughter-in-law never had this problem at all with it, going through two boys. Of course, keep it clean!","does the removable insert of this potty chair stain easily?  Ie does it turn yellow because of the pee? My son and daughter-in-law never had this problem at all with it, going through two boys. Of course, keep it clean!"
2,10,does the removable insert of this potty chair stain easily?  Ie does it turn yellow because of the pee?,38,It doesn't stain if you wipe it out with something soft. DON'T use bleach (it reacts with the pee and creates a hard crust that doesn't come off) and DON'T use anything scrubby or abrasive (it will create a scratched surface that will stain and be hard to clean). As long as you use soft wipes it will clean easily for a long time.,does the removable insert of this potty chair stain easily?  Ie does it turn yellow because of the pee? It doesn't stain if you wipe it out with something soft. DON'T use bleach (it reacts with the pee and creates a hard crust that doesn't come off) and DON'T use anything scrubby or abrasive (it will create a scratched surface that will stain and be hard to clean). As long as you use soft wipes it will clean easily for a long time.
2,11,Is this potty chair big enough/sturdy enough for 3-5 year olds (who are already potty-trained) for using on road trips?,39,I think so.,Is this potty chair big enough/sturdy enough for 3-5 year olds (who are already potty-trained) for using on road trips? I think so.
2,11,Is this potty chair big enough/sturdy enough for 3-5 year olds (who are already potty-trained) for using on road trips?,40,"I would think so. The only removable part is the white insert for dumping. I'm not sure how well the 5 year old would fit on it though? But if its just for road trips, then its definitely better than nothing!","Is this potty chair big enough/sturdy enough for 3-5 year olds (who are already potty-trained) for using on road trips? I would think so. The only removable part is the white insert for dumping. I'm not sure how well the 5 year old would fit on it though? But if its just for road trips, then its definitely better than nothing!"
2,11,Is this potty chair big enough/sturdy enough for 3-5 year olds (who are already potty-trained) for using on road trips?,41,"I'd say it's sturdy enough, but it's not very high off the ground- 6\' to the seat height. It's also not very deep from the back of the seat to the pee cup- about 8\'.  I guess it would depend on how big your kids are.","Is this potty chair big enough/sturdy enough for 3-5 year olds (who are already potty-trained) for using on road trips? I'd say it's sturdy enough, but it's not very high off the ground- 6\' to the seat height. It's also not very deep from the back of the seat to the pee cup- about 8\'.  I guess it would depend on how big your kids are."
2,11,Is this potty chair big enough/sturdy enough for 3-5 year olds (who are already potty-trained) for using on road trips?,42,"Its definitely sturdy. My 2 yr old is pretty comfortable and he is average size. It may work, you can always return it once you get it if your 5 yr old is too big. I agree its better than other options on the road. My 2 year hold sits on it sometimes 30 minutes reading books.","Is this potty chair big enough/sturdy enough for 3-5 year olds (who are already potty-trained) for using on road trips? Its definitely sturdy. My 2 yr old is pretty comfortable and he is average size. It may work, you can always return it once you get it if your 5 yr old is too big. I agree its better than other options on the road. My 2 year hold sits on it sometimes 30 minutes reading books."
2,11,Is this potty chair big enough/sturdy enough for 3-5 year olds (who are already potty-trained) for using on road trips?,43,Yes. My 5 year old still wants to use it.,Is this potty chair big enough/sturdy enough for 3-5 year olds (who are already potty-trained) for using on road trips? Yes. My 5 year old still wants to use it.
2,12,How is this compared to summer infant or fischer price?,44,"I bought a Summer Infant Lil Loo Potty at Target for under $10, after I bought a Summer Infant My Fun Potty and Stepstool - Boy at Walmart for $16, and I realized that my grandson was not comfortable sitting on these things, finally he was to scared to sit on these things, and teaching him to get rid of diapers was impossible. The solution was these two product ended at the city Dump. After some search, I bought at Amazon a BABYBJORN Potty Chair, Blue with 1290 costumers review +4 stars and solved the problem. It this worked for my grandson not necessarily it works for everybody.  \'There are more ways than one to skin a cat,\' but if your toddler is scared and you insist with the wrong thing then don't be surprised to see your grand son or grand daughter on diapers at age 4 years old.","How is this compared to summer infant or fischer price? I bought a Summer Infant Lil Loo Potty at Target for under $10, after I bought a Summer Infant My Fun Potty and Stepstool - Boy at Walmart for $16, and I realized that my grandson was not comfortable sitting on these things, finally he was to scared to sit on these things, and teaching him to get rid of diapers was impossible. The solution was these two product ended at the city Dump. After some search, I bought at Amazon a BABYBJORN Potty Chair, Blue with 1290 costumers review +4 stars and solved the problem. It this worked for my grandson not necessarily it works for everybody.  \'There are more ways than one to skin a cat,\' but if your toddler is scared and you insist with the wrong thing then don't be surprised to see your grand son or grand daughter on diapers at age 4 years old."
2,12,How is this compared to summer infant or fischer price?,45,"We used this and the fisher price. The fisher price potty was uncomfortable for my child (18 months at the time) to sit on. The splash guard is wider, forcing her legs apart more than was comfy for her. My child likes leaning back on the babybjorn, which she could not do with the fisher price one. The babybjorn potty is very versatile, my baby used it from 6 months and still likes it at 5 years even though she has long been potty trained.","How is this compared to summer infant or fischer price? We used this and the fisher price. The fisher price potty was uncomfortable for my child (18 months at the time) to sit on. The splash guard is wider, forcing her legs apart more than was comfy for her. My child likes leaning back on the babybjorn, which she could not do with the fisher price one. The babybjorn potty is very versatile, my baby used it from 6 months and still likes it at 5 years even though she has long been potty trained."
2,13,Does the seat remove & fit onto a regular toilet also?,46,No,Does the seat remove & fit onto a regular toilet also? No
2,13,Does the seat remove & fit onto a regular toilet also?,47,No,Does the seat remove & fit onto a regular toilet also? No
2,13,Does the seat remove & fit onto a regular toilet also?,48,No,Does the seat remove & fit onto a regular toilet also? No
2,13,Does the seat remove & fit onto a regular toilet also?,49,No,Does the seat remove & fit onto a regular toilet also? No
2,13,Does the seat remove & fit onto a regular toilet also?,50,No,Does the seat remove & fit onto a regular toilet also? No
3,14,Would this work on the railings (?) going down the stairs on the angle or is this just for a straight across railing?,51,I think it would work for a rail.,Would this work on the railings (?) going down the stairs on the angle or is this just for a straight across railing? I think it would work for a rail.
3,14,Would this work on the railings (?) going down the stairs on the angle or is this just for a straight across railing?,52,I used it on a staircase.  It was just fine.,Would this work on the railings (?) going down the stairs on the angle or is this just for a straight across railing? I used it on a staircase.  It was just fine.
3,14,Would this work on the railings (?) going down the stairs on the angle or is this just for a straight across railing?,53,Yes that should work fine. You will just have a some extra at the end that you will need to tuck in.,Would this work on the railings (?) going down the stairs on the angle or is this just for a straight across railing? Yes that should work fine. You will just have a some extra at the end that you will need to tuck in.
3,14,Would this work on the railings (?) going down the stairs on the angle or is this just for a straight across railing?,54,I'm fairly sure it would work on a staircase too. There are lots of holes around the edges to secure it so I'm sure you could make it work.,Would this work on the railings (?) going down the stairs on the angle or is this just for a straight across railing? I'm fairly sure it would work on a staircase too. There are lots of holes around the edges to secure it so I'm sure you could make it work.
3,14,Would this work on the railings (?) going down the stairs on the angle or is this just for a straight across railing?,55,It will work on a railing going in a angle. It is a cloth material so you can place wherever you like on a railing.,Would this work on the railings (?) going down the stairs on the angle or is this just for a straight across railing? It will work on a railing going in a angle. It is a cloth material so you can place wherever you like on a railing.
3,14,Would this work on the railings (?) going down the stairs on the angle or is this just for a straight across railing?,56,I would think it would work.  I have not tried it but its pretty flexible and we have ours on the top of the stairs which has extra because it is not very long so as long as the length is covered I think it would work.,Would this work on the railings (?) going down the stairs on the angle or is this just for a straight across railing? I would think it would work.  I have not tried it but its pretty flexible and we have ours on the top of the stairs which has extra because it is not very long so as long as the length is covered I think it would work.
3,15,Would it work on a spiral stairway?,57,"Yes, I believe it would.  It is soft and should wrap along with the banister.  As long as there is a top and bottom rail, it should be just fine.  I have had no problems with it other than my kids untying it, which I solved by making knots instead of bows.","Would it work on a spiral stairway? Yes, I believe it would.  It is soft and should wrap along with the banister.  As long as there is a top and bottom rail, it should be just fine.  I have had no problems with it other than my kids untying it, which I solved by making knots instead of bows."
3,15,Would it work on a spiral stairway?,58,I think it would. The material is very pliable and easily manuevered. Hope this helps!,Would it work on a spiral stairway? I think it would. The material is very pliable and easily manuevered. Hope this helps!
3,16,Would a cat be able to damage the netting with his claws (poke holes in it)?,59,"Yes, not to mention the strings dangle...cat attraction major!!!","Would a cat be able to damage the netting with his claws (poke holes in it)? Yes, not to mention the strings dangle...cat attraction major!!!"
3,16,Would a cat be able to damage the netting with his claws (poke holes in it)?,60,"Id say yes. However, we have multiple cats, and they're not the least bit interested in it","Would a cat be able to damage the netting with his claws (poke holes in it)? Id say yes. However, we have multiple cats, and they're not the least bit interested in it"
3,16,Would a cat be able to damage the netting with his claws (poke holes in it)?,61,A cat would get their nails caught in it and rip it to shreds!,Would a cat be able to damage the netting with his claws (poke holes in it)? A cat would get their nails caught in it and rip it to shreds!
3,17,I know it is 10ft long but can you tell me how tall it is? I have a German Shepherd and don't want her to jump over it.,62,I no longer have this product but it fit my banister at 2 feet high.,I know it is 10ft long but can you tell me how tall it is? I have a German Shepherd and don't want her to jump over it. I no longer have this product but it fit my banister at 2 feet high.
3,17,I know it is 10ft long but can you tell me how tall it is? I have a German Shepherd and don't want her to jump over it.,63,I believe they are about 42\' tall.,I know it is 10ft long but can you tell me how tall it is? I have a German Shepherd and don't want her to jump over it. I believe they are about 42\' tall.
3,17,I know it is 10ft long but can you tell me how tall it is? I have a German Shepherd and don't want her to jump over it.,64,It's the height of a standard banister. Not sure that it would work for a German Shepherd. It's just netting.,I know it is 10ft long but can you tell me how tall it is? I have a German Shepherd and don't want her to jump over it. It's the height of a standard banister. Not sure that it would work for a German Shepherd. It's just netting.
3,17,I know it is 10ft long but can you tell me how tall it is? I have a German Shepherd and don't want her to jump over it.,65,Description states up to 33 inch railings. It's about that tall...,I know it is 10ft long but can you tell me how tall it is? I have a German Shepherd and don't want her to jump over it. Description states up to 33 inch railings. It's about that tall...
3,17,I know it is 10ft long but can you tell me how tall it is? I have a German Shepherd and don't want her to jump over it.,66,"I bought this for my daughter / granddaughter, so I can't measure it right now (plus they just moved and I know it is packed).  But I believe it is about 36\' tall.  It works very well, you spread it out then tie it over the railing to secure.  Hope this helps.","I know it is 10ft long but can you tell me how tall it is? I have a German Shepherd and don't want her to jump over it. I bought this for my daughter / granddaughter, so I can't measure it right now (plus they just moved and I know it is packed).  But I believe it is about 36\' tall.  It works very well, you spread it out then tie it over the railing to secure.  Hope this helps."
3,18,"Would this product work for (townhome) railing going up the stairs to a second level, a gap in the bannister, and then stairs to a third level?",67,"hard to say for sure, but it might? It would take some manipulation so possibly some gapping when you're trying to over a new plane. We have ours wrapped around a top banister in an L-shaped fashion and it works great. But we also don't have a kid that tests limits at all. She knows to steer clear of the mesh and it's primarily there to catch any falls or missteps. It can be easily bent or fussed with if you had a really persistent little one.","Would this product work for (townhome) railing going up the stairs to a second level, a gap in the bannister, and then stairs to a third level? hard to say for sure, but it might? It would take some manipulation so possibly some gapping when you're trying to over a new plane. We have ours wrapped around a top banister in an L-shaped fashion and it works great. But we also don't have a kid that tests limits at all. She knows to steer clear of the mesh and it's primarily there to catch any falls or missteps. It can be easily bent or fussed with if you had a really persistent little one."
3,18,"Would this product work for (townhome) railing going up the stairs to a second level, a gap in the bannister, and then stairs to a third level?",68,"As the photo shows, it must attach to the top rail.  Since it is netting, it is flexible.  Don't know if this answers your question or not.","Would this product work for (townhome) railing going up the stairs to a second level, a gap in the bannister, and then stairs to a third level? As the photo shows, it must attach to the top rail.  Since it is netting, it is flexible.  Don't know if this answers your question or not."
3,19,"Would purchasing one be enough to go around a small third floor apartment balcony, or would I need two or more? I have a 6 month old chihuhua, that I don't want to fit in between the balcony rails.",69,If it is a smaller balcony it should be fine with just one.,"Would purchasing one be enough to go around a small third floor apartment balcony, or would I need two or more? I have a 6 month old chihuhua, that I don't want to fit in between the balcony rails. If it is a smaller balcony it should be fine with just one."
3,19,"Would purchasing one be enough to go around a small third floor apartment balcony, or would I need two or more? I have a 6 month old chihuhua, that I don't want to fit in between the balcony rails.",70,"It is 10 foot.  I would just measure your balcony and if it is more than 10 feet, buy two of them and overlap them in the middle.  We ended up using using plastic pull ties to secure the net which works much better and doesn't ever come undone.  If you are using this outside on a balcony, I would definately use the pull ties instead of the strings that come with the net.","Would purchasing one be enough to go around a small third floor apartment balcony, or would I need two or more? I have a 6 month old chihuhua, that I don't want to fit in between the balcony rails. It is 10 foot.  I would just measure your balcony and if it is more than 10 feet, buy two of them and overlap them in the middle.  We ended up using using plastic pull ties to secure the net which works much better and doesn't ever come undone.  If you are using this outside on a balcony, I would definately use the pull ties instead of the strings that come with the net."
3,19,"Would purchasing one be enough to go around a small third floor apartment balcony, or would I need two or more? I have a 6 month old chihuhua, that I don't want to fit in between the balcony rails.",71,"You'd really need to check measurements. I think it would be plenty tall for a chihuhua, but if the perimeter of your balcony is around 10 ft or more, it might not be enough to wrap.","Would purchasing one be enough to go around a small third floor apartment balcony, or would I need two or more? I have a 6 month old chihuhua, that I don't want to fit in between the balcony rails. You'd really need to check measurements. I think it would be plenty tall for a chihuhua, but if the perimeter of your balcony is around 10 ft or more, it might not be enough to wrap."
3,19,"Would purchasing one be enough to go around a small third floor apartment balcony, or would I need two or more? I have a 6 month old chihuhua, that I don't want to fit in between the balcony rails.",72,Does this really protect puppies that play in the balcony?,"Would purchasing one be enough to go around a small third floor apartment balcony, or would I need two or more? I have a 6 month old chihuhua, that I don't want to fit in between the balcony rails. Does this really protect puppies that play in the balcony?"
3,19,"Would purchasing one be enough to go around a small third floor apartment balcony, or would I need two or more? I have a 6 month old chihuhua, that I don't want to fit in between the balcony rails.",73,"We purchased vinyl outdoor (plant/outdoor department) screen from Lowe's.  Staple or use exterior strip ties to attach.  Durable, weather hardy.  It comes is black, and looks nice.  White would get dirty.  Perfect for or 8 lb Shih Tzu safety.on the inside.  Highly recommend.","Would purchasing one be enough to go around a small third floor apartment balcony, or would I need two or more? I have a 6 month old chihuhua, that I don't want to fit in between the balcony rails. We purchased vinyl outdoor (plant/outdoor department) screen from Lowe's.  Staple or use exterior strip ties to attach.  Durable, weather hardy.  It comes is black, and looks nice.  White would get dirty.  Perfect for or 8 lb Shih Tzu safety.on the inside.  Highly recommend."
3,20,How high is it?  will it fit a 3 foot high banister?,74,From the floor to the top of my banister is 66 inches. The inside height is 34 inches. I ended up rolling the bottom of the next twice before screwing it to my floor (it is carpeted) and it fit fine. I would imagine it would fit a 36\' banister just fine. It is a net and will stretch some.,How high is it?  will it fit a 3 foot high banister? From the floor to the top of my banister is 66 inches. The inside height is 34 inches. I ended up rolling the bottom of the next twice before screwing it to my floor (it is carpeted) and it fit fine. I would imagine it would fit a 36\' banister just fine. It is a net and will stretch some.
3,20,How high is it?  will it fit a 3 foot high banister?,75,"Thank you for asking about one of our products. The Rail Net is 3 foot tall. It should work fine for your banister. If I can answer any other questions, please let me know.","How high is it?  will it fit a 3 foot high banister? Thank you for asking about one of our products. The Rail Net is 3 foot tall. It should work fine for your banister. If I can answer any other questions, please let me know."
