Prod_ID,Ques_ID,Question_Text,Ans_Text
9,58,Does this allow babies to roll over?  My little one is 7 months and rolls himself over before sleeping.,Yes it does. It moves as the baby moves and it's comfortable for them and makes them feel secure. My 20 month old still uses it every now and then when all his pajamas are in the dirty laundry.  And he sleeps 10.5-11hrs. Hope that helps!
9,59,Is there much of a difference between the L and XL besides length? If I put my M size baby in a L or XL would there be a problem?,"The XL size would be too roomy, allowing the sleep sack to twist around babies legs thus making it uncomfortable for a sleeping child.  It's best to stay within one size of your child's size.  I believe that the shoulder width is about the same and it is the length that changes with the larger sizes."
10,60,Does the seat have a crotch strap or is it just the waste strap?,"Yes, it has a crotch strap & works great."
10,61,toddler,My grandson is one and has no problem.
10,62,Would you need a separate high chair for a baby or can you just use this chair?,"This booster chair is great for occasional or temporary use while traveling or days at grandma's house (that's me). I have been considering trading up to a full high chair since baby is now with me often. I have this booster in a regular size wooden chair, which places baby too low to be comfortably fed while adult is standing, for instance, and lower than others when seated around the table. I hoped to avoid the extra piece of furniture (high chair), but I'm thinking it might be better for everyone. If I were the mom, I'd go for a full size high chair."
10,63,"Is the red & white one, truly red or more burgundy like the picture online looks?",I think it looks a little more red in person than than the picture but it's definitely not bright red.
10,64,is this ok for a small 2 yea,Yes
10,65,"Can you set it on the floor, place the baby (who can sit upright) in it and use it for playtime? We would be sitting right next to baby.",Yes  you can do that My kid is two years old so he can't sit like that but baby can sit in it
10,66,where is it made from?,Mine is made in Mexico.
10,67,at what size does your child \'out grow\' being able to use the plastic tray?,Each child is different but generally I think seat + tray works until 2 - 2 1/2 years.
10,68,"Would it be OK to use it outside? On a deck table / chair? Will it be OK to get wet, etc?",They can get wet. I have put mine in a kiddie pool and the bath tub. The straps are adjustable so depending on the width of the seat of your deck chair and the back of your deck chair it should fit. I have used them with a folding chair also. And they can sit on the ground too. Kids always supervised of course:)
11,69,Has anyone had problems with the motor failing? We have only been using this swing for a few months sporatically and now the motor is junk.  It does not swing.  Has anyone else experienced this same problem?,"Yes I bought one and my son used it for a couple months until the motor quite working. So I just stopped using the swing at first, then i started using it again and just manually pushing it (not fun) and now he's 4 1/2 months old and loves the swing other than the fact that it don't swing. So I decided to finally call Fisher price. The lady was very nice and helpful. She asked me a couple questions then she said we can ship you a new motor but the motors are on back order, if you don't want to wait you can mail the legs in and we will ship you a brand new swing. Of course I said yes.  :-) very happy with there products as well as their customer service . The Snugabunny bouncy seat is just as amazing as the swing.   ;-)"
11,70,"Which models have AC power adapter? The way seemingly different swings are all presented under the same heading is confusing.  According to the descriptions of the different \'styles\' the blue one with the stars is the only one with the AC option.  When I visit other websites, sometimes the butterfly one has this option, too.  Is that true here?Update:After confirming that the model number matched the manufacturer listing for a swing with the option to plug it in, I took a chance and ordered the butterfly swing.  It does indeed come with an ac adapter, so the Amazon description claiming that it required batteries is in error.","If it helps anybody, I just received the Nature's Touch (N1973) version of the Fisher-Price Papasan Cradle Swing and it does NOT have an AC adapter. It takes batteries only. I think Amazon should not group all of these swings together. I read the reviews on Amazon and was excited to think that my model would come with an AC adapter."
11,71,"25 pound weight limit accurate? Hi,I am looking for a baby swing form my 7 month old since he has been in one before and loved it. My problem is, he is a larger baby, weighing 21 pounds right now so I don't want to buy a swing if it will only last a couple of months. Do you think the weight limit of 25 pounds is accurate? Has anybody tried this swing with a larger baby?Thanks!","I'm having a similar concern. My little girl is 5 months old, 18 pounds, and her feet stick out over the cradle as she is 26 1/2\' inches in length. Last week she managed to pull at the canopy and got it tangled in the mobile, so I've had to remove it. I'd say this swing is most useful for babies under 16 lbs and under 25\' in length. I'm now shopping for something else."
11,72,"Battery Life? I was looking at getting the fisher price cradle swing, and I was wondering how long the batteries last?  An estimate will help me decide between different models.","I've used adapters to use AA rechargeables. I don't like this method as I constantly have to change the batteries.My wife asked me to modify it (I'm an engineer but the mod is actually quite simple) to plug in. Parts:6V adapter ($5-10, free if you have one lying around. You can use a 5V adapter just fine).barrel connector socket ($1-2)barrel connector of corresponding size ($1-2)Drill a hole through battery cover and secure barrel connector socket. Run wires from barrel connector (solder wires) to battery terminals. Takes about 10-15 minutes. For another $10-20 you can probably set it up with 4 AA NiMh in the compartment. That's what I did but I put cheap batteries in it and my wife says it only runs about 45 minutes before it dies."
11,73,Short waist belt straps Does anyone have a problem with the waist belt straps being too short? I loosened the belt all the way and I still can't buckle up my kid ... he is only 12 lbs. It seems a bit tight already when we got it a few weeks ago when he was only 10lbs.,We bought this swing for our infant son who weighs approx. 10 lbs and the straps on our swing will soon be too tight since there is no room to loosen them any further.  I suppose it's possible that we both bought swings with straps that are too short.  I plan on contacting the manufacturer to see if they can send new straps.
11,74,Papasan Cradle Swing Are there replacement cushions available to buy seperately?,Look on ebay- lots of parts/ covers etc there.
12,75,How Tall is this gate and can it extend to 108 inches?,It is approx 15 Inches tall. And it extends fully to 108 inches.
12,76,Does this gate bend? I need a gate that bends around curved stairs,No this gate does not bend. It is on a wood frame with steel runners and it would not be conducive to a curved stair case.
12,77,How small can this gate get? The descption says 28\' wide in one paragraph and 60\' wide in the next.,The gate consists of four 28\' sections. When assembled it telescopes to 60\' wide.
12,78,Can this be used outdoors on a deck?,It might be okay depending on how exposed it is to the weather. It is wood with some metal peices and needs two walls with eyehooks to install. If left in the rain overtime the wood would warp and the metal would rust.
12,79,From all I can see this gate does not swing open....why then do they call it an \'Extra Wide Swing Gate\'?,"It does swing open. It attaches to the wall on both sides and there is metal hardware on the sides that latches to the wall hardware. But it isn't particularly sturdy or easy (for an adult) to latch and unlatch. Overall, it's an okay swing gate for a low traffic area but maybe not for an area where it would need to open and close frequently or where it may be left open."
12,80,Will this hate hold up to an 11 month old who is trying to walk?,If installed properly. It has to be anchored in the wall and if they don't shake it constantly . We didn't install it right ( we are not handy) and my 15 month old pulled the screws out of the wall by shaking and rocking the gate
12,81,"Can it be installed between two cement walls? Cement block construction, corner pillars solid cement, stucco over it. Would I need bigger screws?",You can but you will need cement eyehole anchors and predrill.
12,82,Can it fit unparallel walls?,It is a latch type of gate where you will need to screw eye hooks into your walls.  This is not a tension based gate.
12,83,Will this gate hold a medium-sized dog (~40 lbs.) and an active toddler?,It holds my 55 lb dog and 1 year old just fine. The dog doesn't jump on it though. I don't know if it would hold up to that.
13,84,Are lansinoh storage bags compatible with this bottle?,"It is possible, but I think there is more of a chance of leaks.  I still pour the milk from the Lasinoh bags (or another freezer equivalent) into the Playtex dropins after the milk defrosts.  Yes, this makes you use two bags, but I'd rather not loose any breastmilk!!"
13,85,Do the 4oz liners expand if you fill them with more than 4oz of milk?,"No, they're pretty much 4oz liners, although you can fill a little more than that especially if you get the pre-shaped drop-in liners rather than the bags. On the drop-ins, the 4oz. line doesn't go all the way to the rim of the bottle, so you could get a bit more in if you'd like but not much. If you want to put in 5oz or more, go for the 8oz liners. To me, that's the beauty of this system of Playtex bottles... I had the 8oz bottle but, for the vast majority of his time on the bottle my son only drank about 4oz at a time so I just used the 4oz liners in the 8oz bottle--no problem--and never had to buy sets of 4oz bottles PLUS sets of 8oz bottles."
13,86,Slow nipples are included?,"Yes, slow nipples included"
13,87,Can you use the 4oz drop-ins with the 8oz bottles?,"yes you can, I do it sometimes but only if I am in a rush because it is hard to squeeze out the air. 4 oz and 8 oz drop-ins are the same ring size, the 4 oz ones are just \'shorter\'."
13,88,Can you heat these in a bottle warmer or will it melt the liner?,No not in a bottle warmer you put hot water in a cup or heated water and place the bottle inside that for 2 minutes or depending how warm the water is because if it's in hot water it'll get hot fast.
13,89,Do all the colors come in the new angled version? Thank you!,"I dont know, I ordered these and recieved the white older version that dont bend. Which I prefer."
13,90,hi! can you use 8 oz drop ins  with the 4 oz bottles? what would be the drawback?,"You can, however the liner would be below the bottle and difficult to use. Best bet would be to use 4oz drop in with the 4oz bottle. It's easier to use 8 oz or 10 oz drop in in a 8 oz bottle."
13,91,I am unclear how exactly I can heat up the content in the drop-in liner whether it is formula or cold breastmilk? Can you use bottle warmer?,"I'm not sure about a bottle warmer, since the bag inserted to the bottle means that the milk/formula wouldn't get much contact with the outside surface of the bottle being warmed. When I pumped, I just warmed my stored containers of breastmilk in a hot water bath before putting them in the bottle. When my son was on formula, he liked it room temperature so as long as I kept a supply of water in a bottle on the counter, I had no need to warm it. A few times I did need to warm the breastmilk while it was in the bottle (had stored the milk in the bottle in the fridge) and I just submerged the whole thing in a hot water bath and dried it off before giving it to my son."
13,92,I currently use the Ventaire system. After a few months of use they now leak out of the bottom no matter how carefully I assemble them. Do these leak?,"No, only if the bottle is upside down it leaks out. But have not had any other problems with leaking. Even considering the force i put on them to get the air out. Biggest mess i have had with these was a 3am feeding when i was half asleep..i poured the formula into it before i put the liner!! And if you do use these its cheapest on Amazons subscribe and save."
14,93,can you make this into a,No.
14,94,What exactly are they?,"Sharp pieces of broken glass, at least that's what I found when I opened the package."
14,95,I want to know what they are for I thought something different,"You grab the bottom bulb and the liquid is supposed to seem like its boiling instantly at the top (with the good ones at least). However, these barely accomplish that sought after boiling action. The liquid merely peters out at the top rather than boil."
14,96,Is there a way to get all styles and colors pictured?,Yes when you place your order just let us know and we will ship out color and style of choice.
14,97,"are they made of glass of plastic?  If plastic , is it impact resistant ?",They are made of glass. I don't think they'd take any significant impact without breaking.
14,98,how many boilers do i get with my order it shows four on the picture but the details do not say if i get all four or just one it only says \'colors may vary\'and again this question is regarding the Westminster Hand Boilers  Thanks,"You receive one boiler, the pictures just show the 4 types they have available."
14,99,"My kids got a red and a blue boiler for Christmas, was wondering if there was a way to request a green and a p","Yes, you can call or email and request colors.  Sometimes we are out of certain colors but currently we have them all.  Email or call as quickly as possible because we will ship quickly and then we cannot change what we have shipped.  We are happy to accommodate requests."
14,100,does this one come as a set of all four or do I have to get them seperate,You only get one per order.
14,101,"This  is listed in the baby section, are you sure that's a good","We were not aware of this, we did not do the original listing and we will confirm that it is moved to a different category.  Thank you for bringing this to our attention."
15,102,Do you have to use the screw in wall cups?  I have to use it between two cupboards at the start of my kitchen. I don't want to screw into/damage wood,"No, I did not use the screw in wall cups. They're an optional component to the gate and it says that you should use the screw in wall cups at the top of the stairs but other places in home are fine to not use the screws"
15,103,"Can a 4-yr old open this gate easily?  I want to keep the baby from falling down the stairs, but allow toddlers through easily.",Yes as long as the lock is not engaged.  This gate closes securely and has an additional push button lock.  If the lock is not engaged a baby will be safe behind it but a toddler can still lift the handle to go through.
15,104,I would like to mount this gate to the top of our stairs. One side is wall and the other side is bannister. The Kidco spindles don't fit it. Help?,"That's where we use it, and as it has a threshold, it's a bit difficult to step through and balance. My son in law bought hardware which attaches to the bannister, and added a wooden support to the bottom of the gate. Sorry, not sure where he got the pieces that straddle the bannister and close with Velcro. We only use it when they visit, at their house they use a gate that is meant for the top of the stairs and has no bottom pice to walk over, much safer."
15,105,What is the distance between bars?,The upright bars aren't equally spaced. The widest distance is 3\' with some closer to 2 1/2\'.
15,106,Can this be installed at the top of the stairs?,Yes
15,107,Does it close automatically?,No it does not but it closes easily with one hand. :)
15,108,I have wide gap in the gate ... not sure how to fix the gate ...,If the gap is between the gate and the panel that touches the wall then the pegs that fasten it against the wall need to be tightened.  Top and bottom pegs must be tightened the same.  If the top is not tightened as much as the bottom it will leave a gap at the top that keep the latch from closing.
15,109,can this gate be solid mounted at an ,It can be mounted with the screws that come with it. Directly into the wall. Straight. No Angles.
16,110,I am looking for the one that has a 3-1/4\' arm that will work with my flush mounted cabinets.  The standard ones aren't long enough for me,We don't carry anything that long but I would call the vendor directly to see if they carry it and what the item# is - (800) 553-5529
16,111,Is this lock visible from the outside of the cabinet?,This lock is not visible from the outside. It works really well.
17,112,What year was this product made in? I just want to check it is a newer version since the 2010 recall of this product.,We received it as a gift and it was 2012 version. But I am not sure whether it was from Amazon.
17,113,can baby be placed forward or only toward the person carrying her/him?,When the child can support the weight of their head on their own then you can fold down the head/neck support and have them face forward.
18,114,Has anyone travelled internationlly with this stroller?did it fit in the overhead compartment? Would this work for a 12 month old?weight capacity?,"I have flown with a stroller a good handful of times and every time we have flown the airline checks your stroller at the gate (don't panic) and then it is at your next stop on the tarmac right as you exit the plane! Even if you have a big stroller they do this. You will NOT have to put your stroller in an overhead is what I am getting at, the airline will take care of it. BUT if you did have to yes this would probably fit because it folds up pretty small. Yes, it will hold your one year old. I use it for my beastly two year old and she fits just fine! There is not a lot of storage space underneath, but that is with any umbrella stroller, this one is actually pretty generous considering. I really like this stroller and have been happy with it for about a year now. It has held up well, it is great for travel and it reclines so she can sleep in too."
18,115,does stroller come with rain cover? ,"It does come with a sun/shade cover, but if you're referring to something plastic, or something that keeps the child's body dry, this stroller does not come with that."
18,116,Will my tall toddlers feet drag on the ground?,"The stroller has a footrest above the two front wheels.   Our four year old is very comfortable inside, I'd say your tall toddler will be okay!"
18,117,"I have a 43 inch, 38 pound toddler. Is this too small? We love our city mini, but it's heavy for travel. If not the chicco, any travel stroller ideas?","My Toddler weights 25lbs and she just fits in this stroller. This stroller is not made as well as it once was made. I find it to be cheaply made does not recline all the way down but it does serve a purpose of being light and easy to handle. I keep mine in my truck for quick trips to bank, grocery shop etc."
18,118,newborn,It does not have the support for a newborn.
18,119,what is the weight capacity of this stroller?,40lb
18,120,Is this stroller comfortable to use for tall people? Like 6ft tall?,Good Travel Stroller and yes comfortable for people 6ft tall.
18,121,does it have a cup ,"No, it does not."
18,122,that car is fully baby lying in one of its positions????,"No, there is not a fully reclined position, if that's what you're asking.  There is very upright and not-so-upright.  \'Recline\' is really a very loosely-used term when used in relation to this stroller. :)  Having said that, I love this stroller.  I used it for my 6-month-old with no problems.  The reclined position is just reclined enough that she could nap without slumping.  The straps are not a harness though, so you'll have to be careful with that."
19,123,Does this cover work with babybjorn miracle?,Yes I have the Miracle as well! This cover would work for most any type! It is like a big sack with elastic around the edges that you just slip over the top!
19,124,We have the Babybjorn one.  Is the hood detachable to be used on it's own without the cover?,"Hi,I'm not sure what do you mean by this question...This cover is hooked on the BabyBjorn carrier but you don't have to  use the cover when using the carrier.Please let me know if you have more questions...- Inbal."
19,125,can you put the cover on when wearing the baby facin,"I don't see why not. Our son usually faces out but the hood snaps on so could go either way and the rest of it is from neck down so it shouldn't matter. I haven't tried it but yes, seems like it would work facing you."
19,126,will this fit a standard baby carrier that isn't baby bjorn ,Yes it is basically a big pouch that just fits around your child! It has elastic around the edge so you can tuck it around baby! Very easy and handy!
19,127,Is the material of this product  waterproof?,it is not waterproof. it is a kind of fleece material so I think it is ok for light rain.
19,128,I live in Florida and am looking for a cover for the rain? Does it do well in the rain? Would it keep the baby too hot? Thanks!,"I think it might be fine in the rain, but I definitely think it would be too warm for Florida weather."
20,129,"similar product for single baby is under 70$, would you have purchase 2 of those instead of 1 for twin","I would have done two separate: reason being that once they are maybe 3 months old and stirring a bit, they kind of almost roll towards the middle/separator and also are more aware of the other one (not very much, but still).  They also just outgrow this so fast.  I would just have two mini cribs from the get-go, because that is what we ended up using for the next year.  Good luck, have fun!"
20,130,Have any of you used this as crib for twins?,We only used the bassinet part for the first couple of months while they were in our room. Now they sleep in their own cribs.
20,131,is it po,Yes it is. It is actually quite easy to pack up.
20,132,I would like to buy an additional thicker mattress for the twin pack n play. Where would I find that?,"We have twin grand babies, have not researched that particular item and cannot provide information.  However, Shanna has provided a very good idea.  It is very important that it fit snugly."
20,133,"Can each of the bassinet be removed separately from the entire unit, in case if you want bring babies to different location? Thx'","No, the bassinet attachment is a single \'hanging platform\' that has dividers with the bassinet canopy.  We really would NOT recommend this as a twin bassinet.  We are actually using this as a portable changing station when we are on the go, but we have to do the changing on our knees so we don't kill our backs..."
20,134,"Does the bassinet fit in the carrying bag? If so, how? Outside the 4 walls that the pad folds up to make?","Exactly, the pad folds in four with everything else inside of it. The good thing is that it has two straps, so you can tighten it and can fit into the carrying bag."
21,135,"Britax seats in Prius? Hi,I am trying to pick a convertible car seat that fits securely into a Prius.  Any recommendations, Brtiax or otherwise?Thanks!",We're having the *exact* same problem as scientific illustrator.  The Britax Roundabout will not sit securely in the middle of our Prius.  The car seat base is more narrow than the middle cushion so the car seat tilts and wobbles.  We are trying to return the Roundabout and are looking for suggestions on which convertible car seat will work.  Please advise!!  Thank you
21,136,"roundabout for Newborns? Hi there,i have been researching various options for our baby who is on his way in April. I am wondering about buying a convertible for our newborn. what are other experiences of folks who might have done that? Any other reccomendations?Thanks","Thanks for your reply stephanie. The reason I was asking this Q was also because I was hoping to find a compatible Stroller for my baby with the Roundabout. But it appears that they dont make a stroller where you can just detach the car seat and fit it into a stroller, like they have for the Graco Snugride. What did you do in terms of having a convertible stroller...any Recommendations? Thanks"
21,137,"Does this seat work on an airplane? We're considering the Britax, but first we need to know from parents with experience if it can be used on airplanes.Thanks in advance for anyone who can help.",I posted pics on my profile and under the product page of the install rearfacing in an airplane.
21,138,"Britax Convertible seats and cup holders? I'm interested in the Britax seats, but can't determine if any of them have cup holders built in.  If not, does anyone know if there is a compatible accessory for Britax?",I have Britax seats for my twins and they do not have cup/snack holders.  It is the only thing I would change about the seats.  (I have the marathons).
