Question_ID,Product ID,Question Text
116,18,"I have a 43 inch, 38 pound toddler. Is this too small? We love our city mini, but it's heavy for travel. If not the chicco, any travel stroller ideas?"
117,18,newborn
118,18,what is the weight capacity of this stroller?
119,18,Is this stroller comfortable to use for tall people? Like 6ft tall?
120,18,does it have a cup 
121,18,that car is fully baby lying in one of its positions????
122,19,Does this cover work with babybjorn miracle?
123,19,We have the Babybjorn one.  Is the hood detachable to be used on it's own without the cover?
124,19,can you put the cover on when wearing the baby facin
125,19,will this fit a standard baby carrier that isn't baby bjorn 
126,19,Is the material of this product  waterproof?
127,19,I live in Florida and am looking for a cover for the rain? Does it do well in the rain? Would it keep the baby too hot? Thanks!
128,20,"similar product for single baby is under 70$, would you have purchase 2 of those instead of 1 for twin"
129,20,Have any of you used this as crib for twins?
130,20,is it po
131,20,I would like to buy an additional thicker mattress for the twin pack n play. Where would I find that?
132,20,"Can each of the bassinet be removed separately from the entire unit, in case if you want bring babies to different location? Thx'"
133,20,"Does the bassinet fit in the carrying bag? If so, how? Outside the 4 walls that the pad folds up to make?"
134,21,"Britax seats in Prius? Hi,I am trying to pick a convertible car seat that fits securely into a Prius.  Any recommendations, Brtiax or otherwise?Thanks!"
135,21,"roundabout for Newborns? Hi there,i have been researching various options for our baby who is on his way in April. I am wondering about buying a convertible for our newborn. what are other experiences of folks who might have done that? Any other reccomendations?Thanks"
136,21,"Does this seat work on an airplane? We're considering the Britax, but first we need to know from parents with experience if it can be used on airplanes.Thanks in advance for anyone who can help."
137,21,"Britax Convertible seats and cup holders? I'm interested in the Britax seats, but can't determine if any of them have cup holders built in.  If not, does anyone know if there is a compatible accessory for Britax?"
138,21,"Expired 2002 Britax Roundabout I know that car seats have a 6 year expiration date, but we have a perfectly good britax roundabout that was made in 02. I feel like if anything was to ever happen to our child in a crash, I couldnt live with myself for using the old seat, but is it really as dangerous as my first time mother's imagination is making it seem?"
139,22,Will this cover work on dream on me 3 inch portable crib.matress ?
140,22,Would it be suggested to use this to cover the \'mattress\' that comes with the pack n play to make the surface not as hard?
141,22,Is this made to fit the pad that comes with a pack n play or for an extra mattress that is bought to fit in the pack n play?
142,22,Will this fit the Chicco Lullaby LX Playard? Planning for newborn...
143,22,It is actually made of cotton?
144,22,"Is this made for a pack 'n play 'on the go' model, which is a little smaller than the regular pack 'n play?  Amazon recommends it w/the on the go mode"
145,22,Will this fit over the dream on me foam pack n play mattress? It is a little smaller but I was wondering if it will stretch enough to fit. If not what
146,22,Will it fit the Arm's Reach MINI Co-Sleeper?
147,23,"I see some negative reviews about it being to firm, I want a firm but comfy matress for my 11 lb 2 month old..is th"
148,23,"Since this is waterproof, is it necessary to have a mattress pad with this mat"
149,23,Can you provide some more detail about what the foam in the mattress is made of? What materials are used?
150,24,I have green sprout bibs for my infant it their too small for her neck.  She's 4 mos old. Are these bigger?
151,24,Can i embroider these?
152,24,What is the waterproof inner layer made out of?
153,24,are these machine was
154,24,I recently saw a three-pack of GS bibs at the store and the packaging said 'organic'. Are these organic cotton? Thanks.
155,24,are these bibs big for a 9 month old? I want it to cover her so she stays clean... I want a BIG TOWEL 
156,24,Is the terry cloth rough on the face?
157,24,Can I use these for my new born baby from day1
158,25,How wide is the walk thru opening? Would a 250lb man have to squeeze thru sideways?
159,25,Does this gate lock open?
160,25,At what height is the mount?
161,25,How do you open the gate? Is there an auto open function or just manual? Is it difficult to open with someone that has arthritis in their hands? We o/
162,25,"The gate is advertised as 39.4\' tall, but at what height are the upper mounting points? My banister is only 39\' tall."
163,25,How tall is the extra tall the dreambaby extra tall gate?  How many more inches in height does the extension add?
164,25,How wide is the opening when the walk through gate is open?
165,25,Does this gate come with a piece to keep the gate from swinging both directions when located at the top of the stairs?
166,25,"Is it possible for this gate to be installed a few inches off the floor, so that our cat could crawl underneath?"
167,26,Does this work with a platform bed
168,26,"Which bed rail for a toddler bed? We have a crib that converts to a toddler bed when you remove one side. However, I have been unable to find any kind of bed rail to use with this? Has anyone else found a bed rail that can be used on a toddler bed? I have bought two and returned them both becuase the first thing it says on the directions is do not use with a toddler bed."
169,26,Does it work with a thick mattress to provide enough of a rail so my baby can't climb over?
170,26,need bedrail for double high mattress - sterns & foster Looking for an extra tall bedrail for an extra high mattress. Anyone use one or do I need to buy a new mattress?
171,27,Is this gate easy to open?  Would like to put at top of deck steps .
172,27,Will this gate work in a doorway that is not completely square (old house)?
173,27,Would a ferret be able to squeeze their way through this fence? I can't tell in the pictures how wide the spaces are.
174,27,Would a cat be able to jump over/jump onto this gate? I need it to keep the dogs out of the cat litter area since they think it's their treat buffet
175,27,What is the mesh on this gate made out of -- wire or plastic?
176,28,Do you think this is a better option than a blender for making homemade baby food?
177,28,Will it puree cooked asparagus since that veggie tends to have strings that need to be removed or would the strings clog it up too fast?
178,28,Does the inside bottom part that pushes the food upwards go all the way to the top and push all food through? I had one that left 1/8\' food inside...
179,28,does this separate or strain skin or seed or bones while grinding?  Like berries or chicken?
180,28,Can it grind cooked meat?
181,28,is it easy to clean or a pain in the butt with many parts?
182,28,can you use it on flax
183,29,Does this work for fat women? I am a size 16/18 and the Boppy ain't happening for wide women.
184,29,"I breastfeed using the \'football\' position, can I use MBF in this pos"
185,29,"Does this come with a removable, washable cover, or does that need to be ordered separately?"
186,29,Is the cover 100% cotton or not?
187,29,Is the cover removable and washable?
188,29,What kind of batteries are needed for this pillow & are they readily available?
189,29,breast friend vs Dr Brown
190,30,where is it made?
191,30,"Amazon shows a yellow warning box \'not for children under 3 years\', huh?? All the review, pics etc. seem to be for infants!"
192,30,How do you clean it?
193,30,my inchworm does not play the happy and you know it song. it sounds like one of j. lo's songs. is my inch worm a 
194,30,is this product lea
195,30,Delivery time usually a few days?
196,30,What age?
197,31,Does this plug-in at all or does it run just on batteries?
198,31,One review mentions a mirror but I don't see one in any of the pictures.  Is there a mirror for baby to check out their reflection? (rainforest model)
199,31,Does the seat adjust?
200,31,Does it have a 5 point restraint system or a 3 point?
201,31,I also need the seat cover because my puppy chewed ours up! Where can this be purchased?
202,32,Could I use this cover with the Baby Jogger City MICRO stroller? thanks!
203,32,Will this fit City Mini GT stroller?
204,33,What's the real difference between this silverado \'plus\' stoller and the skylar \'double\' stroller? Is the fact that a second infant seat can be added to the \'double\' model the only real difference between the \'double\' and \'plus\' models?  Why the price difference for basically the same stroller?
205,33,Compatible?? Has anyone used this stroller with a Chicco infant seat??
206,34,Does it work with Britax Boulevard car seat?
207,34,Has anyone had success using this with the Diono Radian RXT car seat?
208,34,Does this work with sunshine car seats?
209,34,Does anyone have success using the product according to safety directions and wrapping around the child's waist NOT around the car seat?
210,34,Would this work for kids in wheelchairs
211,34,Will this work on a infant car seat? I have a snug fit 40 and a 7 month old who likes to play with toys in the car that fall out of reach. Thanks!
212,34,alzheimers lap tray? Would this work?
213,34,could this work for someone in a wheelchair in th
214,35,comfort
215,35,I am 23 weeks. We are going on vacation soon. I am concerned about the number of pillows at the condo. Is it small enough to bring as a plane pillow?
216,35,I am 5'9\'. Will this be long enough for me?
217,35,Does this pillow help prevent your arm falling asleep while side sleeping?
218,35,I'm 5'2' and concerned that the regular sized snoogle will be too big for me.  Will this mini sized snoogle be a better fit for my height?
219,35,Has anyone found a place to purchase extra covers for this?
220,35,Is the cover able to be removed so that I can wash it?
221,35,is it cotton or what?
222,36,How do you keep a toddler from opening seat belt latches? I have a grandson (2.5yrs) that opens seat belt and car seats at will. Very disconcerting when you are driving alone and he climbs up front with you! Any ideas beside stapling him to the seat?
223,37,Is it possible to use this pump in a hands-free manner?   I am hoping that i will be able to work while pumping.  Thank you.
224,37,how long do these pumps last?
225,37,Is this a quiet pump?
226,37,How many storage bottles come with the pump?
227,37,I'm a first time mom so very new to breast pumps - what parts of this pump do you need to wash/clean after pumping? Thanks!
228,37,What nipples do you use on your pump bottles?
229,37,Is this pump compatible with milk storage bags ? Can milk be pumped directly to storage bags instead of bottles?
230,37,can you sterilize the parts in microwave steam steri
231,37,"If my child nurses on one side, but I want to pump the other, is it possible to only pump one side with a double electric or do you HAVE to pump both?"
232,38,does this come with the bass
233,38,does this fold like an umbrella stroller or is it wide and flat?
234,38,What model year is this Red Bumbleride Flyer? How do i know i am getting the newer model..
235,39,Is it electric?
236,39,Are there two pieces to this?
237,39,Is it a monitor or only the reciever
238,39,"This picture shows just the receiver, does this come along with a monitor too at the same"
239,39,Can I use two of these in the same house without interference? Can I use two of these in the same house without interference?
240,39,Cordless monitor anyone have experience with a monitor that the part by the baby is cordless...??  I can take the cord on the listening part but need the part in baby bed to be cordless..any answers
241,39,"if you got 2 sets of these, would you be able to monitor 2 rooms on the same rec"
242,39,Can I buy two of these and use the same receiver?
243,39,Is this monitor analog or digital?
244,40,Is the hardware metal or plastic?
245,40,Can this be folded and stored easily when not in use?  I will just need it one day a week for my grandson.  Was worried about metal play yard weight.
246,40,how long is it?
247,40,"Hi, can I join 2 of these North States Superyard 3 in 1 Wood Gates to make an extra large play area? Will I need to purchase additional extensions ( other than the 2 Superyards) to do so? Thanks."
248,40,Is this item easy to put out and take down on a daily basis? we got the plastic north states play yard and it take a lot of effort to close it up.
249,40,What is the gap distance between vertical bars? Are they spaced closely enough to contain a cat?
250,40,is this a babby
251,40,pet pen?
252,40,How many extensions can be added?
253,40,Can this be spilt to create two three panel gates?
254,41,Can these nipples be steam cleaned in the microwave ?
255,41,My baby is exclusively breastfed. I am looking for a bottle that mimics the breast. Will this nipple flow be good for my 8 month old or too slow?
256,41,What would you recommend for a 7-10 month old?
257,41,What stage for 4 month old
258,41,How is the stage 2 nipple?  Is it a pretty fast flow or is it still conservative (to mimic the breast)?
259,41,Is this stage 2 nipple a variable speed?
260,42,what kind of proudcts do this package include?
261,42,does this set come with a bottle brush?  There's no detail of what is inc
262,42,best bottles for newborns not being breastfed? what are the best bottles for newborns not being breast fed? (infant being adopted)
263,43,does the chico keyfit 30 use this ad
264,43,Does this work with the Graco snug ride CLICK connect...not classic connect?
265,43,"i have a Graco  snug ride 30, is it going to"
266,44,How do you keep a toddler from opening seat belt latches? I have a grandson (2.5yrs) that opens seat belt and car seats at will. Very disconcerting when you are driving alone and he climbs up front with you! Any ideas beside stapling him to the seat?
267,45,WHAT DOES THE HYPO DO?
268,45,is this a walke
269,45,Must babies be able to hold their heads up completely for them to use this? Or will their head be somewhat supported if it's still a tad wobbly?
270,45,Does it fold?
271,45,I'd like to wash the seat.  Is it removable?
272,45,Are the vegetables rattles?.
273,45,"Some of the pictures show a round base, some show triangluar. I prefer the round base. which is this base? round or.triangle ?"
274,45,It appears the top is fairly low; will the child hit their
275,45,can it be disassembled to carry during t
276,46,How wide is door?
277,46,"The gate is advertised as 36\' tall, but at what height are the upper mounting points?  My banister is only 35\' tall."
278,46,How large are the wide openings at the bottom of the gate?  I have cats and don't want them to slip through.
279,46,What is the width of the walk through gate itself (the opening the people walk through)?
280,46,What is the distance between the bars please?
281,46,This gate only swings open one way? Or both ways?
282,46,"Mine does not automatically shut, ever, and it also does not require use of the button on top to open it.  Is there something wrong with it?"
283,46,Do the mounting knobs adjust enough to account for baseboards?  Our opening is an inch or two narrower at the bottom than the top.
284,46,Can additional sections be ordered so the gate can be used in a wider space?
285,47,What is the age range for this gift?
286,47,"The product description say \'NO\' under batteries required, I assume this is not correct. What size and how many?"
287,47,what are the tunes
288,47,Does it play the entire piece or just a segment of it ?
289,47,"Baby Einstein Takealong Tunes...Is it TOXIC? I was wanting something to round out my order with Amazon last week, ya know, to get the free shipping deal.  I found what looked like a perfect item.  Baby Einstein's Takealong Tunes.  I was looking at the product info and found a statement that said something to the effect of they are required to notify the consumer of Proposition 65 (this was a link).  I clicked on the link and it took me another statement that said something like the product contains a chemical known to the state of California to cause cancer or repoductive harm.  I couldn't believe it!  I emailed Baby Einstein and they forwarded my email to the maker of the toy and I got back this response:I want to assure you that Kids II products are safe. Our products are latex free and paint materials are non-toxic. Our products meet and pass necessary requirements for phthalates, PVC's and BPA's. In addition to the tests that are performed by both U.S. and International standards, we also perform testing and go through extra safety procedures with parents and children within our local area. Not only do our products meet the requirements they are also certified by the accredited independent laboratories mentioned with Intertek and Bureau Veritas. In being a private company I hope that you will understand that we are unable to provide specific details on the materials within the products. However in being parents ourselves, we want to share the same confidence with you that we have in allowing our children to play with our products. In other words...they refused to tell me exactly what the warning was pertaining to!  I wrote back for further clarification and haven't received a response.  Today, about a week and a half later and they have now REMOVED the link to the warning!!!  What's going on?  Is this toxic or isn't it???http://www.oehha.org/prop65.htmlAny info would be appreciated!  Thanks.Nadine"
290,47,"Is it supposed to be this quiet? I just bought this as a present and it was so quiet even set on the loudest setting that I thought perhaps the batteries needed replacing. So I opened it up and replaced the batteries but it's still so quiet I have to hold it up to my ear to hear it. I'm thinking there must be something wrong because with it so quiet on the loud setting, what would one need an even quieter setting?"
291,47,does it play continously? no batteries...what makes i
292,47,Age
293,47,But what battery(s) does it use?? When battery use products are shown for sale it should ALWAYS indicate what battey(s) they use for their operation! Why the secrecy about this?
294,47,What is age
295,48,Does this fit with a regular citi mini single stroller? (not GT version)Does it fit with the double citi mini gt? Can you fold it up when not in use?
296,48,Does this fit the Britax B ready stroller? Thank you!
297,48,Will it fit a Britax B Agile Stroller?
298,48,Does it fit the Jeep Urban Terrain Stroller?
299,48,Does it fit a double stroller
300,48,does it come with 
301,48,"Can the child sit on this board as well as stand? Also, any idea if it would fit an InStep Safari in-line double jogger?"
302,49,I am looking for is a seat that reclines for a 4-month old to sit in front of the TV and feed him...thought this might work. Does anyone think it wil?
303,49,Does this chair recline enough for a newborn baby?
304,49,I am looking to use this for my 5 1/2 month old granddaughter..I would like to use it without the tray at the table. Has anyone done this.
305,49,Are there a bunch of crevices under the pad where food can get stuck?
306,49,"Our chairs do not have slots in the back. There is a space between the bottom and the back rest, but no slots. Will this still work?"
307,49,I just bought this seat and the back won't click into place either. What's the trick?
308,50,is there compatibility with Bob Strolle
309,50,does this fit on the uppababy 
310,50,"Is the UPPAbaby \'PiggyBack Ride Along Board\' compatible with the UPPAbaby G-Luxe stroller, or only the Visa?"
311,50,Has anyone gate checked their Vista with this Piggyback board attached?
312,50,is this compatible with the 2015 uppababy 
313,50,is this complatible with  the 2012
314,50,does this work with uppababy cruz
315,50,Does it fit with the stroller in the vista travel bag?
316,50,is it compatible with maclaren stro
317,51,Price difference Fisher-Price Zen Collection Cradle SwingHas anyone noticed the $100 price difference if you order this from Amazon? Any insight as to why that may be?
318,51,Can the feet be taken off the seat so I  can use it just as a seeing and eliminate some bulk? Thanks.
319,51,"Does the seat do anything when not attached to the motor? Like, bounce, move, anything?"
320,51,does the removable cradle vi
321,51,Does the swing come with the adapter or not?  I read conflicting feedback.
322,51,can we remove blanket...if we do not wa
323,51,I am a bit confused about the noise of this swing. It is anything other than \'quiet\'. Is there a trick to it?
324,51,Is the button to change the speed manual/loud for a sleeping baby?
325,51,How old was your baby when they outgrew this swing?
326,51,Does this swing have any kind of restraint or harness? Or is the blanket the only thing keeping baby from falling out?
327,52,Measurements? I was wondering if anyone has the actual opening measurements of the toddler seat? I want to make sure my duaghter will not fall in and also are there any problems with the seats falling down? Thanks:)
328,52,Can this be used for 1 1/2 year old with a stool? or is it to big?
329,52,Does this have top mounting hinges or doesn't it need to be screwed in from the bottom to fit the toilet?
330,52,How well does this seat work for little boys sitting down?  Do they end up spraying though and getting the floor and their clothes all wet?
331,53,I've been washing these along with my cloth diapers and they are getting rough and scratchy! I'm very surprised! Anyone else have this happen?
332,53,What are the dimentions of the flannel wipes
333,53,What are these wipes made of? 100% cotton?
334,53,"Can you use these for washcloths, too, or only for wipes? They seem very soft!"
335,53,What are the actual measurements of the wipes?
336,54,Does this snap in on its own onto the Baby Jogger City Mini GT or do I need to but an adapter to make it work?
337,54,Has anyone used this in place of the infant car seat adapter? I would like to use it with my Graco click connect 35...
338,54,Do I need to buy two for the citi mini side by side double stroller?
339,54,Will this work on a Chicco Liteway Stroller?
340,54,Will this belly bar fit the Summit X3?
341,54,Does this fit  Mountain Buggy Nano stroller? thanks!
342,55,"The description does not mention the mattress, does it come with it, and if it did did the description at the time say i"
343,55,Does this mini crib have more than one mattress level?
344,55,How thick is the mattress that comes with the crib?  What size sheets fit this matress?
345,55,What is the maximum weight for the baby?
346,56,Will these fit the Nuby active cup (10 ounce)?
347,56,will these fit the nuby natural 
348,56,Can these fit the munchkin trainer cup
349,56,Do these fit the Nuby Click It Grip'n'Sip?
350,57,"Contours Tandem VS City Min? We are trying to figure out what stroller we should get for our newborn and 21 month old... I think we have it narrowed down to the countours tandem and the city mini. We are looking for something that is durable, easy to lift in & out of my SUV, something that can handle both dirt paths and sidewalks and something that can go in & out of stores easily.  Are we looking for the impossible?  I love that the children can face each other in the countours, but I worry about the bulk and it's ability to navigate snowy walkways.  My husband thinks we need something with bigger wheels, like a jogger stroller, but I find them to be too heavy.  Any suggestions would be greatly appreciated."
351,57,Compatible Infant Car Seats? We have a Chicco Keyfit Infant Car Seat (part of the travel system) and hope that the Kolcaft Contours Tandem Stroller is compatible.  Does anyone know for sure?
352,57,Is this stroller okay for light jogging?
353,57,Contours Tandem Stroller- easy to travel with? I will be traveling alone with twins (a lot) and will need to have the stroller placed under the aircraft at the gate.  Will I really have to take the second seat out to close the stroller?  Will it be too much to deal with? Thanks!
354,57,does anyone know who makes a rain cover that would fit the Kolcraft options tandem stroller? We have the one from Babies-r-us and it doesn't fit.  I called Kolcraft and they had no  answer for me.  Any suggestions?
355,57,"seating in a doublestroller we are very happy with our sit-n-stand, but it is after all this time about to be retiered. I still like to have the older child closer to me when I push because it makes it so much easier to controll the stroller. Are there other tandem stroller out there that let me do that as well? How about the \'Contours Options Tandem Stroller\' ? Can the infant car seat adopter be placed in the front seat position?"
356,57,How would I know its Kolcraft Options Plus the new model ? so there is new and a old model. New is known as Options Plus whereas the old is just Kolcraft Optionns Tandem.I bought the new one but the box does not have th Plus word on it. Did I get a old one?
357,57,"Doesn't anyone elses kid drink or snack on the ride? Why is everyone so positive and happy about the fact that this stroller has two cup holders for the driver (and an iPod deck in the Plus model), and no one, in their complaints, mentions the fact that THERE IS NO CUP HOLDER FOR THE KIDS!!  At least not in the pictures. If you own this and it DOES have that PLEASE post that information. Because that is the make it or break it deal for me.  I have two boys, and no they CAN\'T just hold their snack cup or sippy while riding, they like to do other things with their hands and when they tire of holding a cup they throw it down if they have nowhere to put it. I'm AMAZED that no one seems to miss this feature on this stroller.  I will not buy it if it doesn't have that, I hate to be constantly leaning around to hand them stuff. My overall comfort is based on knowing they can help themselves."
358,58,"Is the Potty Time Potty Watch water proof? As in, if the child gets it wet when washing hands or playing outside will the watch be ok?"
359,58,How do you turn it off so the timer doesn't go off all night long?
360,58,How do you turn it off so the timer doesn't go off all night long?
361,58,"Is it loud enough to wake them at night? He's fine during the day, its the night we can't break"
362,58,Is this watch actually effective?What happens when they no longer have the watch?Do they learn to go potty w/o it and not over-rely on it?Thank you.
363,58,How big is the main part of the watch?  I'm trying to figure out if it would be too big for my 16mo old
364,58,How do you change the batteries?
365,58,Is there a way to turn the sound on?  Currently the lights just go on and off.  Not sure if it's defective or I'm missing somehing.
366,58,How do you turn it on? This is my 2nd watch and the blue button activates nothing?
367,58,I am concerned that my 2 year old will enjoy pushing the buttons and mess up all the timer settings.... Did anyone else run into this problem?
368,59,Is the bottom non-skid?
369,59,Can this be screwed to a dresser or changing table?  Many we looked at came with a piece to screw it on and the two sided one we have did not.
370,59,The Naturapedic covers are pricey. Can you recommend an alternative changing pad cover that fits this well?
371,59,Any benefit or drawback to getting the 4-sided vs the 2-sided?
